Id,Timestep,Fitness,EvaluationTime
36,15496,0,254
42,15503,0,75
1,15536,0,75
45,15564,0,253
43,15571,0.304414,1971
38,15580,0,1033
33,15590,0,286
40,15595,0.541842,1661
0,15599,0,1540
31,15625,0,105
9,15630,0,184
42,15634,0,79
41,15640,0,1745
11,15709,0,1337
38,15712,0,80
39,15742,0,280
1,15744,0,156
35,15744,0,1540
8,15744,0,362
7,15747,0,724
42,15765,0,79
28,15802,0,286
48,15816,0,539
41,15840,0,148
47,15853,0,1060
25,15882,0,1313
14,15898,0,1763
30,15909,0,741
37,15919,0.871671,2065
33,15922,0,280
44,15928,0,1234
1,15934,0,138
0,15937,0,286
3,15951,0,1372
23,15957,0,819
26,15957,0.15674,638
9,15967,0,285
35,16011,0,215
45,16021,0,405
17,16023,0,2607
23,16061,0,52
32,16078,1.00629,795
25,16106,0,172
18,16112,0,1007
39,16115,0,321
48,16121,0,253
26,16132,0,123
9,16137,0,118
28,16140,0,286
8,16149,0,353
41,16150,0,258
33,16158,0,184
6,16183,0,1257
23,16194,0,81
26,16237,0,53
47,16259,0.564972,354
35,16278,0,215
10,16286,0,924
3,16289,0,286
39,16290,0,123
48,16321,0,148
45,16326,0,253
47,16376,0,65
33,16394,0,184
5,16403,0,1471
18,16417,0,253
39,16423,0,81
36,16513,0,965
48,16515,0,142
39,16550,0,75
8,16554,0,353
33,16568,0,122
42,16573,0,756
47,16576,0,148
24,16581,0,2999
46,16603,0,1230
14,16609,0,659
38,16613,0,849
21,16621,0,1115
45,16631,0,253
0,16648,0,659
47,16693,0,65
39,16711,0,109
22,16737,0.0793021,1261
38,16745,0,80
19,16772,0,2767
25,16774,0,616
11,16781,0,1020
7,16783,0,984
15,16807,0.389864,2052
22,16841,0,52
47,16850,0,105
4,16851,0,2607
27,16863,0,1797
12,16879,0.144613,1383
8,16881,0,275
39,16886,0,123
20,16892,0,1399
13,16893,0,1876
19,16897,0,73
11,16915,0,82
32,16925,0.754717,795
30,16946,0,985
2,16982,0,1745
24,16984,1.1396,351
44,17029,0,1049
16,17043,0,2052
31,17060,1.59074,1383
2,17087,0,53
29,17144,0,1990
39,17192,0,254
27,17195,0,280
1,17220,0,1234
28,17252,0,1060
2,17264,0,125
49,17269,0,1915
26,17273,0,984
16,17275,0,180
30,17278,0,280
33,17279,0,659
39,17296,0,52
3,17304,0,963
40,17308,0,1661
22,17326,0,433
48,17338,0.259403,771
10,17396,0,1058
39,17400,0,52
1,17420,0,148
38,17456,0.758725,659
36,17541,0.819672,976
7,17559,0,724
28,17590,0,286
43,17594,0.304414,1971
11,17626,0,659
22,17631,0,253
36,17645,0,52
42,17685,0.0943396,1060
4,17701,0,798
49,17726,0,405
32,17729,0,752
11,17760,0,82
47,17782,0,880
25,17810,0,984
1,17810,0,338
28,17822,0,180
4,17834,0,81
18,17868,0,1399
7,17885,0,274
27,17885,0,638
6,17896,0,1661
11,17907,0,95
15,17919,0,1060
41,17947,0,1745
4,17958,0,72
26,17963,0,638
35,17966,0,1636
3,17994,0,638
43,18007,0,361
27,18017,0,80
24,18021,0.203046,985
4,18082,0,72
37,18110,0.654511,2139
38,18167,0,659
10,18204,0,756
19,18269,0,1320
23,18298,0.341131,2052
44,18315,0,1234
9,18338,0.0930665,2149
34,18369,0.172295,2902
19,18394,0,73
42,18396,0,659
23,18406,0,56
48,18423,0,1033
14,18424,0,1763
5,18432,0,1977
4,18494,0,360
31,18495,0.21692,1383
34,18501,3.75,80
19,18519,0,73
23,18540,0,82
37,18570,0.490196,408
49,18573,0,795
32,18576,2.13836,795
14,18585,0,109
20,18605,0,1661
34,18633,0,80
19,18644,0,73
9,18653,0,263
36,18673,0.204918,976
17,18682,0,2607
43,18697,0,638
44,18715,0,348
38,18729,0,510
23,18764,0,172
21,18780,0.0474608,2107
7,18808,0,871
48,18826,0,351
8,18859,0,1926
19,18876,0,180
21,18884,0,52
4,18906,0,360
27,18926,0.466744,857
49,18946,0,321
9,18968,0,263
20,19005,0,348
21,19018,0,82
40,19021,0.90307,1661
15,19031,0,1060
43,19110,0,361
29,19137,0,1941
20,19179,0,122
6,19205,0,1257
10,19239,0,983
16,19241,0,1914
4,19246,0,288
8,19273,0.552486,362
9,19273,0,253
19,19276,0,348
29,19312,0,123
22,19315,0,1632
49,19319,0,321
18,19319,0,1399
21,19323,1.18577,253
20,19330,0,99
4,19370,0,72
32,19423,0,795
8,19424,0,99
39,19425,0,1973
38,19440,0,659
42,19479,0,1031
29,19487,0,123
37,19502,0,880
5,19504,0,1020
0,19505,0.178253,2805
26,19541,0,1526
7,19584,0,724
45,19630,0,2947
5,19636,0,80
48,19649,0,771
46,19654,0,2999
24,19665,0,1592
34,19669,0,984
19,19676,0,348
49,19692,0,321
36,19701,0,976
20,19736,0,354
32,19737,0,262
30,19750,0,2420
11,19758,0,1799
12,19774,0.175871,2843
4,19782,0,360
22,19800,0,433
0,19820,0,263
33,19823,0,2492
23,19831,0,1015
27,19835,0,857
15,19839,0,756
13,19847,0.275672,2902
40,19848,0.129032,775
37,19905,0,351
39,19910,0,433
6,19916,0.455235,659
30,19924,0,122
45,19935,0,253
47,19971,0,2137
17,19989,0,1255
44,20001,0,1234
36,20007,0.787402,254
39,20037,0,75
40,20056,0,156
33,20059,0,184
16,20088,1.00629,795
15,20104,0,213
9,20116,0,791
8,20135,0,659
49,20149,0,405
38,20151,0,659
13,20153,0,254
10,20162,0,871
42,20169,0.15674,638
23,20204,0,321
1,20210,0,2348
16,20215,0,75
46,20216,0,510
12,20231,0,405
26,20231,0,638
2,20245,0,2929
22,20285,0,433
10,20286,0,72
21,20307,0,932
44,20327,0,274
26,20336,0,53
16,20341,0,74
48,20360,0,659
40,20362,1.9685,254
33,20399,0,288
46,20424,0.641026,156
28,20424,0,2550
9,20431,0,263
20,20447,0,659
49,20455,0,254
29,20463,0,924
5,20483,0.125786,795
7,20507,0,871
47,20533,0,510
